originalVatNumber,name
PL2060000016,EUROFIT TRADING SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W LIKWIDACJI
PL2040000059,"DELLNER" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2010000066,"B & R EXPO" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2220000084,JERZY MOSLER
PL2040000088,GASTROPOLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2070000101,FM+ BARANSKI UND PARTNER G.M.B.H. SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ODDZIAŁ W POLSCE
PL2040000119,HAUBE WIND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2070000153,DS. SMITH PAPER LIMITED SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ODDZIAŁ W POLSCE
PL3020000039,"NND" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2060000016,EUROFIT TRADING SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W LIKWIDACJI
PL2050000049,'IMAC SERVICE' SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2050000055,'BANNINGER-FORMTECHNIK' SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2070000101,FM+ BARANSKI UND PARTNER G.M.B.H. SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ODDZIAŁ W POLSCE
PL2220000084,JERZY MOSLER
PL2040000102,"BYDPOL" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2040000119,HAUBE WIND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2040000177,'EASY ACCESS TECHNOLOGY' SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2040000183,BALTIC HUB CONTAINER TERMINAL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2220000167,RYSZARD NOWROCKI
PL3020000163,REWACO SPEZIALFAHRZEUGE GMBH
PL2040000214,"ORAKEL POLSKA" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2530000233,ZBIGNIEW MOSEK
PL2050000227,YAMAZAKI MAZAK CENTRAL EUROPE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ODDZIAŁ W POLSCE
PL2030000230,AKCINE BENDROVE 'KAUNO TILTAI' SPÓŁKA AKCYJNA ODDZIAŁ W POLSCE
PL2020000211,PURCELL SYSTEMS INTERNATIONAL AB SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ODDZIAŁ POLSKA
PL2030000282,FORTA FREIGHT TRAFFIC ACTIVITY AG ODDZIAŁ W POLSCE
PL2040000303,ERGO REISEVERSICHERUNG AKTIENGESELLSCHAFT (SPÓŁKA AKCYJNA) ODDZIAŁ W POLSCE
PL2080000290,"MAZUR&RAMB EUROBUD" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2530000339,JÓZEF MIŁASZEWICZ
PL2020000292,NETRO 42 SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ODDZIAŁ W POLSCE
PL2030000365,DIEFFENBACHER GMBH MASCHINEN- UND ANLAGENBAU
PL2090000305,COMARCH TECHNOLOGIES SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2020000323,TRANLUZ S.L. ODDZIAŁ W POLSCE
PL2090000311,CIMOLAI S.P.A. SPÓŁKA AKCYJNA ODDZIAŁ W POLSCE W LIKWIDACJI
PL2080000367,MAQSTOCK DESARROLLOS Y EXPANSION, S.L. SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ODDZIAŁ W POLSCE
PL2060000329,MAVEX-REKORD VASUTI JARMU ES ALKATRESZ GYARTO, FORGALMAZO ES INGATLANFORGALMAZO KORLATOLT FELELOSSEGU TARSASAG SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ODDZIAŁ W POLSCE
PL2060000335,GUDEL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL3020000364,EAST WIND ENERGY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2060000358,TAVRIDA ELECTRIC POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W LIKWIDACJI
PL2080000404,ECOBALANCE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W LIKWIDACJI
PL2010000416,THERMOSHIELD POLAND LTD. SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ODDZIAŁ W POLSCE
PL2040000415,WESTPOL-TEEUWISSEN SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2050000440,CREDE EXPERTO PRAHA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ODDZIAŁ POLSKA
PL2530000463,SYLWIA GRZYBOWSKA
PL2040000444,POLSKI INSTYTUT BUDOWNICTWA PASYWNEGO I ENERGII ODNAWIALNEJ IMIENIA GÜNTERA SCHLAGOWSKIEGO NON PROFIT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2020000435,MEF-SLOSPE S.R.O. (SP. Z O.O.) ODDZIAŁ W POLSCE
PL2090000417,BRAITRIM (DEUTSCHLAND) SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ODDZIAŁ W POLSCE
PL2010000511,VETROTECH SAINT-GOBAIN (INTERNATIONAL) AG SPÓŁKA AKCYJNA ODDZIAŁ W POLSCE
PL3020000476,TRAMWAJE SZCZECIŃSKIE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2050000546,AURES FLEET MANAGEMENT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL3020000513,VORTEX ENERGY WINDPARK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ EW ROŚCISZEWO SPÓŁKA KOMANDYTOWA
PL2070000578,HEMPELMANN WITTEMÖLLER GMBH
PL2030000595,STI BODEX GROUP LIMITED
PL2050000612,ENERGETIX SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2060000571,"BELLY" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W LIKWIDACJI
PL2060000588,WHITE BERG TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SPÓŁKA AKCYJNA
PL2060000594,WESTFLEISCH POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2810000582,PATRYCJA MILAS
PL2090000558,"RUNTIME POLSKA" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2090000593,BRAGO GRUNDSTUCKSGESELLSCHAFT MBH&CO. KG SPÓŁKA KOMANDYTOWA ODDZIAŁ W POLSCE
PL2060000648,VEGAM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2020000659,GLOBALTRANS-AT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2060000677,ALPHA5 SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL3020000683,EUROAFRICA SERVICES LIMITED (SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ) ODDZIAŁ W POLSCE
PL2050000782,I2 ANALYTICAL LIMITED SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ODDZIAŁ W POLSCE
PL2220000718,RYSZARD PALKA
PL2090000699,SDI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2050000807,ROLFE JUDD ARCHITECTURE LIMITED SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ODDZIAŁ W POLSCE
PL2050000813,GERVIPOL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2810000754,MARCIN POLITUSZCZY
PL2050000836,MQ ENERGY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2050000871,"KOLMAG" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2050000888,NETTERVIBRATION POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL3020000826,'WINDFARM POLSKA IV' SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL3020000832,'WINDFARM POLSKA V' SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2090000819,AGRICULTURAL PRODUCTION & HANDLING SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ODDZIAŁ W POLSCE
PL2080000887,BB TRADE LIMITED
PL2040000881,"TURBO POLAND LTD" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2030000879,M P TEKNIK MAKINE DANIŞMANLIK INŞAAT LIMITED ŞIRKETI
PL2050000977,"TESEO POLSKA" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2040000941,FARM FRITES INTERNATIONAL B.V. SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ODDZIAŁ W POLSCE
PL2090000937,POLISH ASSEMBLY CENTRE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2060000950,TEXCENTRUM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2020000926,THE BATTERIES SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2810000990,TOBIASZ KOZŁOWSKI
PL2060000973,DATAWIN GMBH SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ODDZIAŁ W POLSCE
PL3020001010,WELET EUROPA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI
PL2090000995,DL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2810001021,MARCIN KUKWA
PL2090001003,"OLAJ" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL3020001091,EUROWIND POLSKA IV SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2060001056,HOLBOX POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL3020001116,EUROWIND POLSKA VI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2060001079,"CLASSEN FLOOR SYSTEMS" - SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL3020001139,WIELISŁAWICE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL3020001168,BRZOZA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL3020001174,JAROSŁAWSKO I SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2040001194,VINCI ENERGIES POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2050001244,FORNAROLI POLYMERS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL3020001197,BM POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2090001173,SANTANDER ALLIANZ TOWARZYSTWO UBEZPIECZEŃ NA ŻYCIE SPÓŁKA AKCYJNA
PL2040001260,PROJEKT 7 SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2810001222,AGNIESZKA ŁAGODA
PL2050001333,KUKA CEE GMBH SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ODDZIAŁ W POLSCE
PL2090001262,LUXMET PLUS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL3020001317,"AGROWID-LUBICZ" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2060001286,DOPPELMAYR POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2060001300,MIEBACH CONSULTING SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2060001317,SL INVEST SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2220001304,STANISŁAW WSZOŁEK
PL2040001403,'TRANSPORT & OFFSHORE SERVICES POLAND' SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2050001474,DARMANN EUROPE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2050001528,"JST" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2220001391,JAROSŁAW ŁABĘDZKI
PL2060001429,PANEP S.R.O. SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ODDZIAŁ W POLSCE
PL2090001440,MIASTO POZNAŃ
PL3020001501,EW GREENFIELD 3 SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL3020001530,ES DĘBICA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL3020001547,ES JARSZEWO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL3020001553,ES SUNFIELD 2 SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL3020001582,ES OSTROWICE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2090001546,IB CONSTRUCTIONS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2060001547,MT POL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2090001552,CEDUKO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL3020001607,BIOVEGE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL3020001613,EW GOZDOWO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2090001581,GETSIX POZNAŃ SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2040001662,OCEAN TECHNOLOGIES GROUP NORWAY AS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ODDZIAŁ W POLSCE
PL2060001599,OMG POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL3020001659,DR. THIEL GMBH SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ODDZIAŁ W POLSCE
PL2050001764,EXOL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2090001658,AM DESIGN POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL3020001688,EW GREENFIELD 8 SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2220001586,ANDRZEJ SZWAJCOK
PL3020001719,ES JUTRZENKA 15 SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL3020001725,ES SUNFIELD 1 SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL3020001731,CONDAIR SYSTEMS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ODDZIAŁ W POLSCE
PL2050001853,DEFEND INSURANCE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2090001747,CERES DOM INWESTYCYJNY SPÓŁKA AKCYJNA
PL2040001811,"INTEC MARITIME SERVICE POLAND" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2810001771,ALEKSANDRA KOPACEWICZ
PL2040001834,MASTER DIE CASTING SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2060001754,WA-NA TRANSPORT & LOGISTIK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2040001900,"SOLTEC SERVICES" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL3020001866,SOLAR POLSKA NEW ENERGY 21 SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2060001820,ARVEDI EAST EUROPE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2040001946,Q-RAILING EUROPE HOLDING SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ODDZIAŁ W POLSCE
PL2530001965,RYSZARD HANUSEWICZ
PL2530001994,BARTŁOMIEJ LISTOPADZKI
PL2530002019,RENATA DERKACZ
PL2220001853,MARIA FIJAK-URBAŃCZYK
PL2040002035,SANTANDER GLOBAL TECHNOLOGY AND OPERATIONS S.L. ODDZIAŁ W POLSCE
PL3020002009,REGIONALNE CENTRUM MEDYCZNE W BIAŁOGARDZIE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL3020002015,ANNMAX SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2090002014,ANOCHIN, ROTERS & KOLLEGEN SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2050002114,CONEXIO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2060001990,HDA JOB SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2060002015,SEMIX SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2530002143,PAWEŁ ZABRZYCKI
PL2060002050,EUROFIX POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2220002002,IRENA BEŁDOWSKA
PL2040002176,DELTA HAUS POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2060002104,FIRESTA-FIŠER, REKONSTRUKCE, STAVBY, A.S., SPÓŁKA AKCYJNA, ODDZIAŁ W POLSCE
PL2060002110,INDUSTRIAL STARTER POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2090002215,DEVILLE AUTOMOTIVE SAFETY COMPONENTS UPROSZCZONA SPÓŁKA AKCYJNA ODDZIAŁ W POLSCE
PL2040002265,JOHNNYBROS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2220002137,BOŻENA GOLASOWSKA
PL2040002288,MUNTERS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ODDZIAŁ W POLSCE
PL2090002310,MARC O'POLO EINZELHANDELS GMBH SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ODDZIAŁ W POLSCE
PL2220002249,KATARZYNA KURZ
PL2060002340,"BPS LOGISTIC" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2050002545,MK STAL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2090002511,LIVELOCK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2090002540,AURELIUS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2220002396,CEZARY ŁABĘDZKI
PL2060002475,PSC SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2810002635,WOJCIECH OCHOTA
PL2090002617,S.C.E. SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2040002638,NM DESIGN OFFICE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2090002652,LIMES CONSULT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ODDZIAŁ W POLSCE
PL2040002704,FARMA WIATROWA ROZDRAZEW SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2220002574,JÓZEF JEZIORSKI
PL2050002901,HYDROMA SPOL. S R.O. SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ODDZIAŁ W POLSCE
PL2090002942,ZARZĄD KOMUNALNYCH ZASOBÓW LOKALOWYCH SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2050002999,ADAMSTAL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2040002992,DV POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W LIKWIDACJI
PL2040003017,INOMED POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2810003072,ŁUKASZ MICHALCEWICZ
PL2090003002,KLAUSE&STASCH SPÓŁKA AKCYJNA
PL2090003025,H&M KURIERE POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2220002918,WŁADYSŁAW PIWOWARCZYK
PL2220002930,HENRYK POLEWKA
PL2040003129,ULTIMA DISPLAYS POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2220002976,LEONARD KOŹLIK
PL2050003237,G&L TECHNOLOGIES S.R.O. (SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ) ODDZIAŁ W POLSCE
PL2090003195,PSI AKTIENGESELLSCHAFT (SPÓŁKA AKCYJNA) ODDZIAŁ W POLSCE
PL2220003065,BOŻENA BRANICKA
PL2220003088,ADAM BERENDOWICZ
PL2090003249,FAST EUROPA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2040003282,EUCOON AB SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ ODDZIAŁ W POLSCE
PL2040003371,CLYDE MARINE RECRUITMENT POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2530003510,DOROTA AMBROZIAK
PL2040003661,WNS GLOBAL SERVICES (UK) LIMITED
PL2220003496,MIROSŁAW LARWAS
PL2050003674,PRZEDSIĘBIORSTWO PRODUKCYJNO-HANDLOWO-USŁUGOWE GTR SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2040003721,ITAL - COMMERCE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2040003767,STW ENERGIA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2040003796,IMEX INVEST GROUP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2040003804,CLEMENTONI POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2090003717,STELAMOR HOLDINGS LIMITED
PL2050003800,RESCOP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2050003846,LUNA POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2050003906,ZIMBARDO YOUTH CENTER (ZYC) W LIKWIDACJI
PL2220003852,RYSZARD ORZEŁ
PL2220003869,HALINA GRZEBIELUCH-SZELIGA
PL2040004117,POLISH AGRO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2040004123,NOBLE OFFSHORE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2040004198,MACGREGOR POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2040004212,VOLUE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2040004241,POMORSKI PUCH SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2040004270,GREEN & BARREL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2040004399,DEUTSCHE WINDTECHNIK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2040004436,OPTIMUM LOGISTICS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2040004548,PKO BANK HIPOTECZNY SPÓŁKA AKCYJNA
PL2040004560,BEST CAPITAL FUNDUSZ INWESTYCYJNY ZAMKNIĘTY AKTYWÓW NIEPUBLICZNYCH
PL2040004695,BLUESTONE POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2810004686,STANISŁAW GNIEWA
PL2090004639,CONTENT POZNAŃ SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2810004717,GRZEGORZ MISIOŁEK
PL2050004840,NORTHMILL BANK AB
PL2090005082,EUROWIND ENERGY A/S
PL2050005673,SHINBO COMPANY LIMITED
PL2040005625,M.J.M. MARINE LIMITED PRIVATE LIMITED BY SHARES
PL2810005674,PAWEŁ KOZŁOWSKI
PL2090005722,CALL CENTER ASTRA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
PL2050005880,DOOSAN ENERBILITY CO., LTD
PL2220005644,JÓZEF GĘGOTEK
PL2050005911,SOLUTIONS 4 DELIVERY B.V.
PL2220006000,KRZYSZTOF KOZIOŁ
PL2090006302,GRUPA VAT FDG
PL2530006394,RENATA KAWA-MAZUR
PL2530006402,ROBERT KUSZYŃSKI
PL2810006515,ANNA MIZGIER-WOLAŃSKA
PL2090006489,AGS 92 S.R.O.
PL2810006604,ŁUKASZ CHMARA
PL2090006584,ACA STUDIOS LIMITED PRIVATE LIMITED
PL2090006590,DOMO-BEST GRUPA VAT
PL2090006609,MR - EXPORT, S.R.O.
PL2220006595,KRZYSZTOF KUTEK
PL2810006998,ILONA KICIŃSKA
PL2040006984,INVICTA GRUPA VAT
